SKU,Scanned_OH_Count,Description,DRS Cost
S002389041,0,WA Jacket / Talbots,3
S002389080,0,WT S Sleeve,2.4
S002389082,0,WD Dress Short,2.45
S002389122,0,WB Pants,3.3
S002389150,0,WT Long Sleeve,3
S002389168,0,W Sandals Flips,2.64
S002389180,0,MB Denim,4.2
S002389189,0,MA Short Sleeve,3.6
S002389190,0,MA Short Sleeve,3.6
S002389211,0,WD Dress Short,4.62
S002389293,0,W Dress Shoe Syn,1.8
S002389350,0,WD Dress Short,4.62
S002389381,0,MT LW Sweatshirt,4.55
S002389412,0,WT Long Sleeve/klassynetwork,3
S002389419,0,WO Heavy,9.5
S002389423,0,WB Denim,3.9
S002389467,0,WD Dress Short,2.45
S002389490,0,WA Pants,3
S002389509,0,WD Dress Short,4.62
S002389523,0,WT Long Sleeve,2.4
S002389547,0,Hat/blackcowboy,3
S002389587,0,Hat,2.4
S002389613,0,Purse Large / Brown,2.4
S002389636,0,WA Short Sleeve,3
S002389665,0,MO Denim,4.5
S002389683,0,WD Dress Short,3.96
S002389705,0,WA Pants,3.6
S002389731,0,WA Pants,4.2
S002389744,0,W Athletic Shoe,10
S002389754,0,MA Shorts,3
S002389763,0,MA Short Sleeve,3.3
S002389764,0,MA Short Sleeve,3.3
S002389782,0,WT S Sleeve,2.1
S002389784,0,WT Long Sleeve,3
S002389802,0,WD Dress Short,1.98
S002389866,0,MT L Sleeve,4.55
S002389894,0,MT T-Shirt,1.07
S002389902,0,WT T-Shirt L/S,3
S002389952,0,WT LW Sweatshirt,5.2
S002389960,0,WA Skirt,3.3
S002389987,0,MO Light,4.5
S002390065,0,M Casual Shoe Syn,4.2
S002390199,0,WA Pants,9.5
S002390211,0,WB Denim,2.7
S002390228,0,Purse Large,4.2
S002390240,0,Earrings/silver,0.8
S002390241,0,Earrings/gold,1.5
S002390252,0,Sports Bra / 2 pc,1.5
S002390297,0,MT S Sleeve,2.1
S002390298,0,WD Dress Short,3.96
S002390390,0,W Athletic Shoe / Green,11.4
S002390434,0,MO Light,9.5
S002390481,0,WT S Sleeve/heroes&dreamers,1.8
S002390631,0,WT T-Shirt,1.5
S002390642,0,MA Jacket,4.8
S002390660,0,MT T-Shirt,2.1
S002390710,0,WT LW Sweatshirt,3.6
S002390731,0,W Athletic Shoe,6.84
S002390749,0,WT T-Shirt,1.5
S002390751,0,WA Pants,2.4
S002390760,0,MB Denim/schaefer,3.3
S002390794,0,MT S Sleeve,3.25
S002390837,0,MT T-Shirt/ledzeppelin,2.6
S002390838,0,MT T-Shirt/korn,1.8
S002390896,0,Jewelry/necklace,2
S002390897,0,Jewelry/rings,0.8
S002390934,0,MT T-Shirt,1.5
S002391049,0,WT LW Sweater,5.2
S002391180,0,W Sandals Flips,1.3
S002391245,0,WA Long Sleeve,6.5
S002391257,0,WB Pants/youngUSA,3.3
S002391302,0,WO Light,3.9
S002391338,0,WT LW Sweater,1.87
S002391354,0,WT LW Sweater/alsionandrews,1.87
S002391355,0,WT Long Sleeve,3
S002391372,0,WT HW Sweater,4.55
S002391393,0,W Athletic Shoe,7.6
S002391442,0,WD Dress Long,4.55
S002391549,0,MT HW Sweater/luomo,3.73
S002391558,0,WB Denim,6.5
S002391815,0,M Casual Shoe Syn / Black,7.6
S002391876,0,WT T-Shirt,1.8
S002391989,0,WT Long Sleeve,3
S002392001,0,WD Dress Short,4.9
S002392010,0,Necklace/skull lady,0.8
S002392160,0,MA Short Sleeve,2.7
S002392225,0,MA Shorts,4.2
S002392283,0,MO Light,8.05
S002392310,0,MA Tank,3.6
S002392317,0,MA Shorts,3
S002392365,0,MT L Sleeve,3.6
S002392427,0,MT T-Shirt,1.8
S002392436,0,WB Overalls,4.8
S002392490,0,WB Shorts,1.33
S002392491,0,WT Long Sleeve,2.4
S002392514,0,M Athletic Shoe / Black and White,17.1
S002392560,0,Jewelry / Silver Gem,3
S002392574,0,WT Long Sleeve,1.8
S002392732,0,WT Long Sleeve,3.9
S002392786,0,WT S Sleeve,1.07
S002392797,0,WB Denim,6.6
S002392807,0,MA Pants,5.85
S002392852,0,MT L Sleeve,3
S002392883,0,WB Denim,4.8
S002392913,0,Jewelry,0.4
S002392915,0,Jewelry,0.4
S002392924,0,Jewelry/cuff,0.8
S002392932,0,WT LW Sweater,2.4
S002393001,0,MT T-Shirt,1.07
S002393061,0,WT Long Sleeve,3.6
S002393065,0,MT T-Shirt,1.8
S002393077,0,Baseball Hat / brixton,1.8
S002393081,0,Jewelry / Necklace,1.65
S002393084,0,Jewelry,0.8
S002393114,0,Belt,1.8
S002393127,0,MT LW Sweatshirt,7.6
S002393145,0,WT Long Sleeve,3.9
S002393164,0,WD Dress Short,3.96
S002393184,0,WA Jacket,4.8
S002393189,0,WD Dress Short,2.4
S002393192,0,WT Long Sleeve/olivebellsleeve,3
S002393240,0,MB Denim,14
S002393264,0,Earring set/Halloween,0.8
S002393277,0,WD Dress Short,4.9
S002393294,0,W Dress Shoe Syn,2.67
S002393368,0,WA Pants,4.2
S002393478,0,WD Dress Short,1.98
S002393481,0,Jewelry/butterfly,0.6
S002393486,0,Pin,0.25
S002393490,0,Pin,0.25
S002393540,0,WD Dress Short,2.45
S002393574,0,MT LW Sweatshirt,4.55
S002393656,0,WT Long Sleeve,3.25
S002393687,0,WT LW Cardigan/ as is,1.87
S002393781,0,WD Dress Short,4.62
S002393803,0,MT T-Shirt,2.6
S002393895,0,MA Short Sleeve,6.5
S002393902,0,WB Shorts,1.8
S002393940,0,MT LW Sweatshirt,3.25
S002393992,0,Baseball Hat / Punisher Marvel,2.4
S002393997,0,Purse Small / Black Tan Buckle,14
S002394050,0,WB Skirt Short,2.6
S002394057,0,Coin Purse,2.1
S002394062,0,WT Long Sleeve,1.8
S002394090,0,MB Denim,7.7
S002394163,0,MA Shorts,2.4
S002394186,0,WA Long Sleeve,3.3
S002394214,0,M Athletic Shoe,9.5
S002394241,0,Jewelry / ring,1
S002394242,0,Jewelry / ring,1
S002394243,0,Jewelry / ring,1
S002394244,0,Jewelry / ring,1
S002394245,0,Jewelry / ring,1
S002394246,0,Jewelry / ring,1
S002394247,0,Jewelry / ring,1
S002394248,0,Jewelry / ring,1
S002394256,0,WT LW Sweater,3.9
S002394282,0,MT LW Sweatshirt,3.9
S002394285,0,MO Light,4.8
S002394358,0,MT S Sleeve,1
S002394368,0,MT L Sleeve,3.6
S002394392,0,WT Long Sleeve,1.8
S002394439,0,Jewelry/knot,0.8
S002394441,0,Jewelry/abalone,1.5
S002394442,0,Jewelry/green asis,1.5
S002394486,0,MT T-Shirt/ALI,1.8
S002394530,0,Sports Bra,2.4
S002394719,0,MT T-Shirt / RatsGetFat,1.8
S002394779,0,WT Long Sleeve,2.4
S002394812,0,W Sandals Syn / Tan Yellow,2.64
S002394833,0,WD Dress Long,4.67
S002394857,0,WA Tank,1.33
S002394901,0,WT Long Sleeve / AsIs,3.6
S002395025,0,MT T-Shirt,1.8
S002395029,0,MT T-Shirt,1.5
S002395137,0,MT S Sleeve,2.4
S002395179,0,WA Short Sleeve,4.8
S002395208,0,WT T-Shirt L/S,1.8
S002395212,0,WT T-Shirt L/S,1.8
S002395215,0,WT T-Shirt L/S,1.8
S002395251,0,MT LW Sweatshirt,3
S002395257,0,WO Light,3.9
S002395282,0,WA Shorts,2.7
S002395388,0,WT S Sleeve/theNow,1.8
S002395432,0,M Athletic Shoe,13.3
S002395461,0,WA Pants,3.6
S002395538,0,WT S Sleeve,1.8
S002395598,0,WD Dress Long,4.67
S002395607,0,WB Skirt Short,1.33
S002395671,0,WT S Sleeve/2pc w/Shorts,3
S002395736,0,WA Shorts,3
S002395743,0,WT T-Shirt,1.8
S002395778,0,WA Pants / christmas,2.4
S002395792,0,Scarf,1.4
S002395885,0,MA Long Sleeve,2.1
S002395925,0,WT T-Shirt,1.5
S002395926,0,WT T-Shirt,1.5
S002395932,0,WT Long Sleeve / Jolie&Joy,3
S002395969,0,Purse Large,14
S002396015,0,WA Shorts,5.25
S002396102,0,W Boots Syn,6.84
S002396162,0,MA Pants,4.2
S002396208,0,MT L Sleeve,4.55
S002396234,0,WT T-Shirt L/S,1.33
S002396305,0,WD Dress Long / Alredine,3.6
S002396373,0,pin/saltlake Olympics,0.25
S002396374,0,pin/barcelona Olympics,0.25
S002396460,0,WB Skirt Short,2.6
S002396481,0,MT LW Sweatshirt,4.55
S002396547,0,WT HW Sweater,4.55
S002396580,0,WA Shorts,3.3
S002396611,0,WO Light,2.7
S002396649,0,MT LW Sweatshirt,3.25
S002396661,0,WD Dress Long,4.55
S002396672,0,Jewelry,0.8
S002396690,0,WO Light,5.2
S002396811,0,WA Pants,9.5
S002396818,0,MT T-Shirt,1.8
S002396876,0,MT T-Shirt L/S,3.25
S002396890,0,MB Denim,4.2
S002396940,0,WO Leather,10
S002396946,0,Backpack,4.67
S002397008,0,WD Dress Short,1.98
S002397028,0,MA Shorts,6.5
S002397049,0,WO Light,9.5
S002397156,0,MA Short Sleeve,2.4
S002397257,0,WT Long Sleeve,1.8
S002397282,0,WT Long Sleeve,2.4
S002397313,0,WT T-Shirt,1.5
S002397370,0,WT LW Sweater/orange,3.25
S002397376,0,WD Dress Short,3.96
S002397399,0,WT Long Sleeve,1.8
S002397402,0,WT T-Shirt L/S,1.33
S002397499,0,Sports Bra,2.4
S002397500,0,WT Long Sleeve,3.9
S002397510,0,MT L Sleeve,4.55
S002397542,0,Jewelry / Elephant Ring,0.8
S002397595,0,WD Dress Short / Julie Billiart,3.96
S002397667,0,WA Pants,5.85
S002397701,0,WA Short Sleeve,3
S002397903,0,WD Dress Short,4.2
S002397947,0,WT LW Sweatshirt/bratz,3
S002397970,0,MB Denim,4.8
S002398071,0,Bracelets,0.4
S002398146,0,WA Pants,9.5
S002398158,0,WA Pants,7
S002398164,0,WA Pants,12
S002398166,0,WT Long Sleeve,2.4
S002398262,0,WD Dress Short,1.8
S002398285,0,WD Dress Short,4.62
S002398286,0,WD Dress Short / Hyfve,3.96
S002398290,0,WD Dress Short,2.45
S002398304,0,WT Long Sleeve,1.5
S002398359,0,WB Shorts/2pc,1.8
S002398375,0,WO Denim / Darcy Galen,4.55
S002398460,0,W Casual Shoe Syn / Black,1.8
S002398500,0,WT S Sleeve,2.4
S002398550,0,MA Pants/ASIS,4.2
S002398609,0,WT LW Sweatshirt,3
S002398661,0,MT T-Shirt,1.5
S002398694,0,MO Light,3.6
S002398774,0,Jewelry/earrings,0.6
S002398790,0,M Athletic Shoe,13.3
S002398939,0,WO Light,9.5
S002399004,0,MT T-Shirt,1.8
S002399023,0,MT LW Sweatshirt,3.25
S002399061,0,Jewelry/bracelet,0.6
S002399062,0,Jewelry/bracelet,0.6
S002399064,0,Purse Small/blackcrossbody,4
S002399080,0,WD Dress Short,2.45
S002399104,0,Jewelry/circle,0.6
S002399149,0,MB Pants,3.9
S002399153,0,WT T-Shirt,2.1
S002399227,0,WD Dress Short,1.8
S002399242,0,WT LW Sweatshirt,5.2
S002399253,0,WT Long Sleeve,3.6
S002399267,0,WT Long Sleeve,3
S002399325,0,WD Dress Long,2.4
S002399383,0,Jewelry / Black Watch,0.8
S002399396,0,MT LW Sweatshirt,8.36
S002399410,0,Jewelry/kendra scott,3.6
S002399416,0,Jewelry/kendra scott,2
S002399434,0,WT Long Sleeve,1.5
S002399479,0,W Athletic Shoe,11.4
S002399506,0,WT Long Sleeve,2.4
S002399532,0,MA Long Sleeve,2.4
S002399544,0,WA Pants,4.2
S002399549,0,M Athletic Shoe,7.6
S002399645,0,WT Long Sleeve,2.4
S002399651,0,WD Dress Long,3
S002399697,0,M Athletic Shoe / White Grey,7.6
S002399725,0,MT LW Sweatshirt,4.55
S002399738,0,Purse Small / Black,2.92
S002399747,0,Jewelry / Gold Heart Earrings,0.6
S002399760,0,Purse Small / Black KurtGeiger,9.5
S002399787,0,Jewelry / Gold Purple Ring,0.6
S002399790,0,MT L Sleeve,2.4
S002399797,0,MT L Sleeve,2.4
S002399801,0,WT T-Shirt L/S,2.7
S002399869,0,Jewelry/brooch,0.8
S002399870,0,Jewelry/bow,0.8
S002399887,0,WO Light,5.2
S002399908,0,WT LW Cardigan,2.4
S002399910,0,Sports Bra,4.2
S002399913,0,WT LW Sweatshirt,5.2
S002399915,0,MT LW Sweatshirt,4.55
S002399934,0,WT Long Sleeve,2.4
S002399939,0,WT Long Sleeve,3.9
S002399957,0,WD Dress Long,3
S002399959,0,WT Long Sleeve,2.4
S002399973,0,WT S Sleeve,1.8
S002399978,0,WB Skirt Short,2.6
S002400006,0,Purse Large/brown asis,3.25
S002400027,0,WA Shorts,0.9
S002400052,0,WT Long Sleeve,1.5
S002400065,0,MA Tank,2.4
S002400097,0,WA Tank,1.6
S002400100,0,WD Dress Short,1.98
S002400179,0,WB F/W BodySuit,3
S002400244,0,WT Long Sleeve,3
S002400258,0,MB Pants,3.9
S002400282,0,MA Jacket,5.4
S002400287,0,MT T-Shirt,1.8
S002400342,0,W Dress Shoe Syn / Yellow,3.33
S002400348,0,WB Skirt Long / Flowers,1.8
S002400351,0,WT T-Shirt,1.8
S002400393,0,WA Tank,4.8
S002400395,0,MT T-Shirt,1.5
S002400422,0,WA Jacket,2.4
S002400436,0,W Dress Shoe Syn,4.2
S002400465,0,WD Dress Short,3
S002400526,0,WB Skirt Short / Tan,1.33
S002400531,0,WT Long Sleeve,2.4
S002400582,0,WT T-Shirt / CVLA,1.2
S002400637,0,WT Long Sleeve/joliejoy,1.8
S002400646,0,WA Tank,3
S002400683,0,W Athletic Shoe,5.25
S002400710,0,WB Pants,3.3
S002400719,0,MT LW Sweatshirt,6.3
S002400774,0,WT Long Sleeve,3
S002400779,0,WT Long Sleeve,3.9
S002400781,0,WT Long Sleeve,2.4
S002400794,0,WT LW Sweatshirt,4.88
S002400875,0,WT Long Sleeve,2.4
S002400895,0,WO Light,5.52
S002400908,0,WT LW Cardigan,2.4
S002400943,0,WT Long Sleeve / Handmade Reference,1.5
S002400952,0,MT LW Sweatshirt,4.55
S002400954,0,WT Long Sleeve,3.9
S002401063,0,WT Long Sleeve,3
